date,PERMNO,TICKER,PRC,C_strike_price,P_strike_price,option_days,rate,daily_rate,PV_strike_price,PutCallParity,PutCallRatio
2017-09-18,84398,SPY,249.72,250.261667,250.261667,60,1.211933,0.0033203643835616435,205.05642301204284,44.66357698795716,1.9112449688705184
2017-09-19,84398,SPY,249.97,250.513532,250.513532,60,1.213177,0.0033237726027397258,205.22082261114582,44.74917738885418,2.1151055200235795
2017-09-20,84398,SPY,250.06,250.605402,250.605402,60,1.211933,0.0033203643835616435,205.3380685009784,44.72193149902159,1.586839951275788
2017-09-21,84398,SPY,249.39,249.934478,249.934478,60,1.21069,0.0033169589041095893,204.83018321069426,44.55981678930573,1.7654178322828744
2017-09-22,84398,SPY,249.44,249.984263,249.984263,60,1.21069,0.0033169589041095893,204.87098378672022,44.56901621327978,1.9279789954914075
2017-09-25,84398,SPY,248.92999,249.472892,249.472892,60,1.21069,0.0033169589041095893,204.4518970866506,44.4780929133494,2.125421875421875
2017-09-26,84398,SPY,249.08,249.623908,249.623908,60,1.211933,0.0033203643835616435,204.5338636410796,44.54613635892042,1.5267418349929134
2017-09-27,84398,SPY,250.05,250.597897,250.597897,60,1.213798,0.0033254739726027395,205.26897908849216,44.78102091150785,0.9664049571786164
2017-09-28,84398,SPY,250.35001,250.897386,250.897386,60,1.21815,0.0033373972602739727,205.36732381144296,44.98268618855704,1.1050367423574818
2017-09-29,84398,SPY,251.23,251.78029,251.78029,60,1.221259,0.003345915068493151,205.98470903045595,45.245290969544044,2.2205390994423295
2017-10-02,84398,SPY,252.32001,252.8772,252.8772,60,1.220016,0.003342509589041096,206.92438156142632,45.39562843857368,1.226641378925643
2017-10-03,84398,SPY,252.86,253.421315,253.421315,60,1.220016,0.003342509589041096,207.36962004031366,45.49037995968635,1.1706247414149773
2017-10-04,84398,SPY,253.16,253.724704,253.724704,60,1.21815,0.0033373972602739727,207.6815716419242,45.4784283580758,1.6126380692246012
2017-10-05,84398,SPY,254.66,255.229991,255.229991,60,1.218772,0.0033391013698630136,208.89233631065795,45.767663689342044,1.5595163337213243
2017-10-06,84398,SPY,254.37,254.9413,254.9413,60,1.218772,0.0033391013698630136,208.65605789672398,45.713942103276025,2.1045499697333034
2017-10-09,84398,SPY,253.95,254.526964,254.526964,60,1.220016,0.003342509589041096,208.27435061922316,45.67564938077683,1.141376231234461
2017-10-10,84398,SPY,254.62,255.198482,255.198482,60,1.221259,0.003345915068493151,208.7811760792874,45.8388239207126,1.528504688310559
2017-10-11,84398,SPY,255.02,255.577073,255.577073,60,1.220637,0.0033442109589041096,209.11228619105066,45.90771380894935,1.6900922090367352
2017-10-12,84398,SPY,254.64,255.196824,255.196824,60,1.221259,0.003345915068493151,208.7798196480609,45.86018035193908,1.3688126515674086
2017-10-13,84398,SPY,254.95,255.506527,255.506527,60,1.221259,0.003345915068493151,209.03319167468325,45.91680832531674,1.5782626426416222
2017-10-16,84398,SPY,255.28999,254.614378,254.614378,60,1.222503,0.0033493232876712327,208.26072080273022,47.02926919726977,2.7408832419904905
2017-10-17,84398,SPY,255.47,254.797019,254.797019,60,1.223124,0.003351024657534247,208.38883733759695,47.081162662403045,2.8563136498432145
2017-10-18,84398,SPY,255.72,255.048772,255.048772,60,1.221259,0.003345915068493151,208.65869639357035,47.06130360642965,1.748445646301228
2017-10-19,84398,SPY,255.78999,255.118853,255.118853,60,1.221881,0.003347619178082192,208.69469115694892,47.09529884305107,2.1699403527373633
2017-10-20,84398,SPY,257.10999,256.444404,256.444404,60,1.221259,0.003345915068493151,209.80048096866,47.309509031339985,1.327474424800507
2017-10-23,84398,SPY,256.10999,255.445941,255.445941,60,1.21815,0.0033373972602739727,209.0904577286658,47.019532271334185,1.2026906584725172
2017-10-24,84398,SPY,256.56,255.8993,255.8993,60,1.218772,0.0033391013698630136,209.44013055762696,47.119869442373044,1.489593650853544
2017-10-25,84398,SPY,255.28999,254.628595,254.628595,60,1.218772,0.0033391013698630136,208.40012528563037,46.88986471436962,1.6407153162935655
2017-10-26,84398,SPY,255.62,254.960687,254.960687,60,1.221881,0.003347619178082192,208.56530673814422,47.05469326185579,1.6253488580499795
2017-10-27,84398,SPY,257.70999,257.057573,257.057573,60,1.220016,0.003342509589041096,210.3450976153888,47.36489238461121,1.558016396152906
